SYMBOL,datasets_count,datasets
SEMA3C,11,GSE100132;GSE136920;GSE205721;GSE208379;GSE217580;GSE219008;GSE233140;GSE239857;GSE240722;GSE278335;GSE34736
COL12A1,9,GSE100132;GSE136920;GSE159778;GSE205721;GSE208379;GSE217580;GSE234395;GSE278335;GSE34736
NAV3,9,GSE205721;GSE208379;GSE217580;GSE233140;GSE239857;GSE240722;GSE271430;GSE278335;GSE34736
NCAM2,8,GSE100132;GSE159778;GSE186207;GSE205721;GSE208379;GSE233140;GSE278335;GSE34736
PDE3A,8,GSE100132;GSE159778;GSE205721;GSE217580;GSE240722;GSE272779;GSE278335;GSE34736
RNF125,8,GSE159778;GSE219008;GSE233140;GSE234395;GSE240722;GSE272779;GSE278335;GSE34736
TGM2,8,GSE100132;GSE186207;GSE208379;GSE233140;GSE234395;GSE239857;GSE240722;GSE278335
FLRT3,7,GSE208379;GSE219008;GSE233140;GSE240722;GSE271430;GSE272779;GSE34736
FOLR1,7,GSE100132;GSE159778;GSE205721;GSE217580;GSE240722;GSE271430;GSE272779
GRAMD1C,7,GSE100132;GSE205721;GSE208379;GSE219008;GSE239857;GSE271430;GSE272779
HLA-DPA1,7,GSE100132;GSE159778;GSE186207;GSE205721;GSE208379;GSE272779;GSE34736
MSRB3,7,GSE136920;GSE217580;GSE233140;GSE234395;GSE240722;GSE278335;GSE34736
PAG1,7,GSE205721;GSE208379;GSE219008;GSE233140;GSE234395;GSE271430;GSE34736
RIPOR2,7,GSE186207;GSE208379;GSE217580;GSE219008;GSE233140;GSE239857;GSE34736
SKIL,7,GSE100132;GSE159778;GSE205721;GSE219008;GSE233140;GSE278335;GSE34736
SLC22A3,7,GSE100132;GSE159778;GSE205721;GSE208379;GSE239857;GSE278335;GSE34736
TNC,7,GSE100132;GSE136920;GSE186207;GSE205721;GSE208379;GSE217580;GSE240722
ANKRD44,6,GSE136920;GSE217580;GSE219008;GSE233140;GSE240722;GSE34736
CALCR,6,GSE100132;GSE159778;GSE205721;GSE208379;GSE219008;GSE233140
CHAC1,6,GSE100132;GSE159778;GSE186207;GSE208379;GSE233140;GSE271430
EDNRB,6,GSE159778;GSE205721;GSE208379;GSE219008;GSE272779;GSE278335
FNDC5,6,GSE136920;GSE205721;GSE217580;GSE240722;GSE272779;GSE34736
FOXO1,6,GSE159778;GSE217580;GSE239857;GSE240722;GSE278335;GSE34736
INHBE,6,GSE100132;GSE136920;GSE159778;GSE186207;GSE233140;GSE271430
LYST,6,GSE100132;GSE208379;GSE219008;GSE233140;GSE234395;GSE272779
PADI3,6,GSE100132;GSE136920;GSE159778;GSE208379;GSE271430;GSE278335
PLCE1,6,GSE217580;GSE219008;GSE240722;GSE271430;GSE278335;GSE34736
TMEM158,6,GSE205721;GSE217580;GSE233140;GSE234395;GSE271430;GSE278335
TNFRSF8,6,GSE136920;GSE159778;GSE205721;GSE208379;GSE239857;GSE272779
ADAM9,5,GSE205721;GSE217580;GSE233140;GSE234395;GSE34736
AGPAT4,5,GSE217580;GSE219008;GSE234395;GSE278335;GSE34736
CCDC80,5,GSE100132;GSE159778;GSE205721;GSE208379;GSE34736
CDH6,5,GSE205721;GSE208379;GSE239857;GSE278335;GSE34736
CYP7B1,5,GSE205721;GSE208379;GSE233140;GSE272779;GSE34736
DNAJC22,5,GSE100132;GSE136920;GSE233140;GSE234395;GSE240722
DNMT3B,5,GSE159778;GSE234395;GSE239857;GSE278335;GSE34736
FKBP9,5,GSE205721;GSE217580;GSE233140;GSE278335;GSE34736
HIVEP3,5,GSE136920;GSE217580;GSE233140;GSE234395;GSE34736
HMOX1,5,GSE186207;GSE205721;GSE208379;GSE239857;GSE278335
IGF2,5,GSE100132;GSE205721;GSE208379;GSE233140;GSE34736
LINC01426,5,GSE186207;GSE205721;GSE208379;GSE239857;GSE240722
LOXL4,5,GSE100132;GSE186207;GSE205721;GSE208379;GSE219008
MYC,5,GSE159778;GSE208379;GSE217580;GSE233140;GSE234395
MYH2,5,GSE159778;GSE205721;GSE239857;GSE240722;GSE34736
PLEKHB1,5,GSE136920;GSE159778;GSE234395;GSE239857;GSE278335
PSD4,5,GSE100132;GSE217580;GSE233140;GSE234395;GSE239857
RORB,5,GSE186207;GSE205721;GSE208379;GSE272779;GSE34736
SIPA1L2,5,GSE208379;GSE217580;GSE233140;GSE239857;GSE278335
TRPV6,5,GSE100132;GSE136920;GSE186207;GSE233140;GSE278335
WLS,5,GSE205721;GSE239857;GSE240722;GSE278335;GSE34736
ABCG2,4,GSE159778;GSE217580;GSE239857;GSE272779
ABLIM3,4,GSE100132;GSE219008;GSE234395;GSE240722
ADAMTS16,4,GSE100132;GSE159778;GSE205721;GSE208379
ADCY2,4,GSE159778;GSE205721;GSE208379;GSE217580
AKR1C3,4,GSE205721;GSE208379;GSE239857;GSE278335
CLIC6,4,GSE205721;GSE208379;GSE239857;GSE34736
CUBN,4,GSE100132;GSE208379;GSE239857;GSE272779
DOCK8,4,GSE217580;GSE239857;GSE240722;GSE272779
FGF19,4,GSE100132;GSE159778;GSE208379;GSE234395
FOXD3-AS1,4,GSE100132;GSE159778;GSE217580;GSE240722
GABRA5,4,GSE136920;GSE159778;GSE205721;GSE34736
GALNT16,4,GSE100132;GSE205721;GSE272779;GSE278335
HHAT,4,GSE205721;GSE233140;GSE240722;GSE271430
HLA-DMB,4,GSE100132;GSE186207;GSE205721;GSE234395
HRH1,4,GSE208379;GSE233140;GSE240722;GSE272779
HS3ST3B1,4,GSE205721;GSE208379;GSE233140;GSE34736
IDO1,4,GSE136920;GSE159778;GSE186207;GSE239857
IQSEC2,4,GSE159778;GSE233140;GSE234395;GSE239857
KDR,4,GSE159778;GSE205721;GSE208379;GSE278335
LMO3,4,GSE136920;GSE159778;GSE271430;GSE34736
MAFB,4,GSE186207;GSE208379;GSE278335;GSE34736
MANEAL,4,GSE205721;GSE234395;GSE278335;GSE34736
MASP1,4,GSE136920;GSE208379;GSE278335;GSE34736
MIR1915HG,4,GSE205721;GSE217580;GSE278335;GSE34736
NGFR,4,GSE100132;GSE136920;GSE205721;GSE208379
NLRP12,4,GSE136920;GSE159778;GSE208379;GSE233140
NME5,4,GSE205721;GSE208379;GSE240722;GSE34736
OAS3,4,GSE159778;GSE186207;GSE208379;GSE233140
PDZD4,4,GSE136920;GSE159778;GSE208379;GSE271430
SEZ6,4,GSE100132;GSE136920;GSE208379;GSE239857
SHISA2,4,GSE205721;GSE208379;GSE219008;GSE233140
SLC13A5,4,GSE100132;GSE136920;GSE208379;GSE272779
SLFN12,4,GSE159778;GSE217580;GSE219008;GSE34736
SLFN5,4,GSE100132;GSE208379;GSE234395;GSE239857
TERF1,4,GSE159778;GSE205721;GSE219008;GSE34736
TMEM88,4,GSE136920;GSE186207;GSE271430;GSE272779
TOM1L2,4,GSE208379;GSE217580;GSE234395;GSE240722
TRPC4,4,GSE136920;GSE159778;GSE205721;GSE219008
VASH2,4,GSE159778;GSE233140;GSE234395;GSE271430
VGF,4,GSE205721;GSE208379;GSE233140;GSE239857
AGPAT3,3,GSE136920;GSE186207;GSE205721
ALDH1A1,3,GSE159778;GSE233140;GSE239857
ALKAL2,3,GSE217580;GSE219008;GSE272779
ANPEP,3,GSE136920;GSE186207;GSE208379
BCORL1,3,GSE208379;GSE233140;GSE34736
BSND,3,GSE100132;GSE208379;GSE271430
DACH1,3,GSE136920;GSE217580;GSE271430
DPPA2,3,GSE100132;GSE159778;GSE271430
FBLL1,3,GSE100132;GSE208379;GSE240722
FBN1,3,GSE205721;GSE233140;GSE240722
FN1,3,GSE205721;GSE208379;GSE234395
FOXD3,3,GSE159778;GSE217580;GSE271430
HRK,3,GSE136920;GSE233140;GSE278335
HS3ST2,3,GSE100132;GSE159778;GSE208379
IGIP,3,GSE100132;GSE219008;GSE240722
IL20RA,3,GSE240722;GSE272779;GSE278335
LINC01806,3,GSE233140;GSE234395;GSE272779
MARCHF4,3,GSE100132;GSE233140;GSE271430
MIR302CHG,3,GSE159778;GSE186207;GSE219008
MRAP2,3,GSE205721;GSE272779;GSE34736
NKX1-2,3,GSE159778;GSE205721;GSE234395
RASGEF1C,3,GSE100132;GSE205721;GSE239857
SAMD3,3,GSE219008;GSE233140;GSE234395
SERPINA5,3,GSE136920;GSE159778;GSE239857
SHISA9,3,GSE159778;GSE205721;GSE240722
SORBS2,3,GSE239857;GSE278335;GSE34736
SPON1,3,GSE205721;GSE233140;GSE240722
TNMD,3,GSE100132;GSE159778;GSE205721
WNK4,3,GSE233140;GSE271430;GSE34736
ZFHX4,3,GSE217580;GSE219008;GSE34736
ZNF398,3,GSE159778;GSE233140;GSE234395
A2ML1,2,GSE159778;GSE233140
ADCY8,2,GSE136920;GSE159778
AJAP1,2,GSE159778;GSE239857
BBS5,2,GSE208379;GSE233140
CCDC141,2,GSE159778;GSE240722
CCDC92,2,GSE240722;GSE278335
DSC3,2,GSE205721;GSE233140
ECE2,2,GSE136920;GSE271430
F10,2,GSE100132;GSE233140
FGFBP3,2,GSE159778;GSE271430
GNA14,2,GSE159778;GSE239857
HMGCL,2,GSE208379;GSE234395
HRH3,2,GSE100132;GSE208379
KCNG3,2,GSE159778;GSE239857
KCNK12,2,GSE208379;GSE272779
KIAA0895,2,GSE136920;GSE240722
LRRTM1,2,GSE136920;GSE205721
MMP24,2,GSE136920;GSE240722
MT1X,2,GSE159778;GSE219008
MYZAP,2,GSE100132;GSE217580
NLRP1,2,GSE100132;GSE208379
PABPC5,2,GSE240722;GSE34736
PCDH10,2,GSE205721;GSE208379
PLAAT3,2,GSE271430;GSE278335
SEMG1,2,GSE159778;GSE205721
SLITRK5,2,GSE205721;GSE217580
TMEM151B,2,GSE100132;GSE186207
TRPV4,2,GSE272779;GSE34736
UGP2,2,GSE159778;GSE205721
UTF1,2,GSE159778;GSE233140
VENTX,2,GSE100132;GSE186207
VWA3A,2,GSE100132;GSE186207
ZEB1,2,GSE219008;GSE34736
C3orf80,1,GSE205721
C9orf129,1,GSE136920
CES1,1,GSE34736
ENOX1,1,GSE234395
FAM189A2,1,GSE136920
FCN2,1,GSE271430
GDF3,1,GSE159778
GRPR,1,GSE159778
HHLA1,1,GSE159778
HTR1A,1,GSE159778
HTR2C,1,GSE136920
IL23R,1,GSE271430
IRS4,1,GSE159778
KCNAB1,1,GSE219008
LNCPRESS1,1,GSE159778
MIR124-1HG,1,GSE100132
NANOG,1,GSE159778
PDE4B,1,GSE159778
PPP2R2B,1,GSE208379
RP11-326K13.4,1,GSE136920
SYT4,1,GSE208379
TRBC2,1,GSE159778
TRHDE,1,GSE34736
TRHDE-AS1,1,GSE136920
UGT3A1,1,GSE100132
VIPR2,1,GSE100132
YAF2,1,GSE219008
ZDHHC22,1,GSE205721
ZNF518B,1,GSE233140
